Metric		Current
UNIT_SIZE_NEGLIGIBLE_RISK_PERCENTAGE		100
UNIT_SIZE_NEGLIGIBLE_RISK_COUNT		1
UNIT_SIZE_LOW_RISK_LOC		0
UNIT_SIZE_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_LOW_RISK_COUNT		0
UNIT_SIZE_MEDIUM_RISK_LOC		0
UNIT_SIZE_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_MEDIUM_RISK_COUNT		0
UNIT_SIZE_HIGH_RISK_LOC		0
UNIT_SIZE_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_HIGH_RISK_COUNT		0
UNIT_SIZE_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_CALYPSO_WEBSITE_NEGLIGIBLE_RISK_LOC		3
UNIT_SIZE_COMPONENT_CALYPSO_WEBSITE_NEGLIGIBLE_RISK_PERCENTAGE		100
UNIT_SIZE_COMPONENT_CALYPSO_WEBSITE_NEGLIGIBLE_RISK_COUNT		1
UNIT_SIZE_COMPONENT_CALYPSO_WEBSITE_LOW_RISK_LOC		0
UNIT_SIZE_COMPONENT_CALYPSO_WEBSITE_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_CALYPSO_WEBSITE_LOW_RISK_COUNT		0
UNIT_SIZE_COMPONENT_CALYPSO_WEBSITE_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_CALYPSO_WEBSITE_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_CALYPSO_WEBSITE_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_CALYPSO_WEBSITE_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_CALYPSO_WEBSITE_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_CALYPSO_WEBSITE_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_CALYPSO_WEBSITE_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_CALYPSO_WEBSITE_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_CALYPSO_WEBSITE_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_LOC		3
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_PERCENTAGE		100
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_COUNT		1
UNIT_SIZE_EXTENSION_JS_LOW_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_LOW_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		3
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CALYPSO_WEBSITE_NEGLIGIBLE_RISK_LOC		3
CONDITIONAL_COMPLEXITY_COMPONENT_CALYPSO_WEBSITE_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_CALYPSO_WEBSITE_NEGLIGIBLE_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_COMPONENT_CALYPSO_WEBSITE_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CALYPSO_WEBSITE_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_CALYPSO_WEBSITE_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_CALYPSO_WEBSITE_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CALYPSO_WEBSITE_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_CALYPSO_WEBSITE_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_CALYPSO_WEBSITE_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CALYPSO_WEBSITE_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_CALYPSO_WEBSITE_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_CALYPSO_WEBSITE_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CALYPSO_WEBSITE_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_CALYPSO_WEBSITE_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_LOC		3
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_COUNT		0
DUPLICATION_NUMBER_OF_DUPLICATES		8
DUPLICATION_NUMBER_OF_FILES_WITH_DUPLICATES		9
DUPLICATION_NUMBER_OF_DUPLICATED_LINES		116
DUPLICATION_NUMBER_OF_CLEANED_LINES		2,575
DUPLICATION_PERCENTAGE		4.5
UNIT_DUPLICATES_COUNT		0
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_CALYPSO_WEBSITE		116
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_CALYPSO_WEBSITE		116
DUPLICATION_PERCENTAGE_PRIMARY_CALYPSO_WEBSITE		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_JSX		40
DUPLICATION_NUMBER_OF_CLEANED_LINES_JSX		1,316
DUPLICATION_PERCENTAGE_JSX		3.04
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_CSS		76
DUPLICATION_NUMBER_OF_CLEANED_LINES_CSS		1,219
DUPLICATION_PERCENTAGE_CSS		6.23
TOTAL_ANALYSIS_TIME_IN_MILLIS		1,399
